SHIP_TO_CITY_CD,RMB_DOLLARS,SHIP_TO_CITY_CD_ENG,PROVINCE,PER_CAPITA_USD,normalized_sales,cluster
西双版纳傣族自治州,219438.07,Xishuangbanna Dai Autonomous Prefecture,Yunnan Province,,-0.36499458069556123,2
西宁,1704533.56,Xining,Qinghai,7897,-0.24764188254681493,2
西安,30850582.54,Xi'an,Shaanxi,15108,2.055487789053302,0
许昌,1926847.19,Xuchang,Henan,8208,-0.2300745917622055,2
贵港,497989.43,Guigang,Guigang,5368,-0.34298336734994483,2
贵阳,4615934.99,Guiyang,Guizhou,10474,-0.017582054404303812,2
贺州,267653.13,Hezhou,Hezhou,6982,-0.3611846119625718,2
资阳,447021.29000000004,,,,-0.3470108853034355,2
赣州,4313691.55,Ganzhou,Jiangxi,5440,-0.0414654231308217,2
赤峰,968991.31,Chifeng,Chifeng,6947,-0.3057646552716178,2
辽源,521980.60000000003,Liaoyuan,Jilin,9618,-0.3410875777861066,2
辽阳,1461117.0,Liaoyang (disambiguation),Liaoyang (disambiguation),,-0.26687673329037637,2
达州,830214.2100000001,Dazhou,Sichuan,3908,-0.31673086400090184,2
运城,1850541.8,Yuncheng,Shanxi,5508,-0.23610426693130346,2
连云港,6856342.26,Lianyungang,Jiangsu,9286,0.15945561075389197,2
迪庆藏族自治州,132593.82,Diqing Tibetan Autonomous Prefecture,Yunnan,11473,-0.37185703979319423,2
通化,889546.53,Tonghua,Jilin,7252,-0.31204240599513083,2
通辽,801809.8300000001,Tongliao,Tongliao,9654,-0.3189753867637056,2
遂宁,520813.28,Suining,Sichuan,4474,-0.34117981976820494,2
遵义,1348587.72,Zunyi,Guizhou,8167,-0.27576883128519,2
邢台,2189108.82,Xingtai,Hebei,,-0.20935059784489302,2
那曲市,24510.620000000003,Nagqu,Nagqu,3132,-0.38039780719162636,2
邯郸,3373335.81,Handan,Hebei,,-0.1157726202449015,2
邵阳,863693.0,Shaoyang,Hunan,4731,-0.31408535981365576,2
郑州,24822514.93,Zhengzhou,Henan,14866,1.5791480496762977,0
郴州,629842.56,Chenzhou,Hunan,9558,-0.33256429283988925,2
鄂尔多斯,1613209.95,Ordos City,Ordos City,33261,-0.25485830203657034,2
鄂州,494976.17,Ezhou,Hubei,11066,-0.3432214760733264,2
酒泉,288731.88,Jiuquan,Gansu,11573,-0.3595189627145878,2
重庆,17009110.41,Chongqing,Chongqing,13359,0.9617304436544722,0
金华,19086008.86,Jinhua,Zhejiang,11096,1.12584759203289,0
金昌,112730.99,Jinchang,Gansu,7665,-0.37342660667227073,2
钦州,476498.82,Qinzhou,Qinzhou,7720,-0.34468156190062815,2
铁岭,934018.71,Tieling,Liaoning,4477,-0.30852820078024823,2
铜仁,255580.22,Tongren,Guizhou,5838,-0.3621386169895529,2
铜川,302455.8,Tongchuan,Shaanxi,5832,-0.3584344943743213,2
铜陵,1431725.78,Tongling,Anhui,13834,-0.26919923645068383,2
银川,2330749.87,Yinchuan,Yinchuan,11174,-0.19815807891392412,2
锡林郭勒盟,335229.25,Xilingol League,Xilingol League,15417,-0.355844726368802,2
锦州,3004142.81,Jinzhou,Liaoning,6937,-0.1449463636030677,2
镇江,9502554.9,Zhenjiang,Jiangsu,19214,0.36856013990394487,2
长春,15564746.610000001,Changchun,Jilin,11773,0.8475963760610301,0
长沙,16622635.120000001,Changsha,Hunan,19925,0.9311910484743555,0
长治,1354105.51,Changzhi,Shanxi,8610,-0.27533281383804376,2
阜新,657390.65,,,,-0.3303874343738088,2
阜阳,3399523.48,Fuyang,Anhui,5827,-0.1137032625817596,2
防城港,256078.79,Fangchenggang,Fangchenggang,12020,-0.3620992198362318,2
阳江,1025748.81,Yangjiang,Guangdong,8991,-0.30127966032682973,2
阳泉,691956.74,Yangquan,Shanxi,8678,-0.3276560114092475,2
阿克苏地区,213273.49,Aksu Prefecture,Xinjiang,8820,-0.36548170768559324,2
阿勒泰地区,95917.72,Altay Prefecture,Xinjiang,7469,-0.37475519639090454,2
阿坝藏族羌族自治州,161994.7,Ngawa Tibetan and Qiang Autonomous Prefecture,Sichuan,4599,-0.3695337732967432,2
阿拉善盟,80298.24,Alxa League,Alxa League,21384,-0.37598945245997406,2
阿拉尔,43623.9,"Aral, Xinjiang","Aral, Xinjiang",,-0.378887469981948,2
阿里地区,15737.54,Ngari Prefecture,Ngari Prefecture,5841,-0.38109105864650406,2
陇南,199446.93000000002,Longnan,Gansu,1954,-0.3665742866699356,2
陵水黎族自治县,115555.40000000001,Lingshui Li Autonomous County,Hainan,,-0.3732034209334343,2
随州,643869.09,Suizhou,Hubei,5764,-0.3314559121652134,2
雅安,421853.12,Ya'an,Sichuan,5222,-0.3489996817659218,2
青岛,18187003.48,Qingdao,Shandong,19412,1.0548079129660315,0
鞍山,4210787.59,Anshan,Liaoning,10389,-0.04959692540626842,2
韶关,1274877.97,Shaoguan,Guangdong,8429,-0.2815933981905609,2
马鞍山,3532555.18,Ma On Shan,Ma On Shan,,-0.10319105711117764,2
驻马店,1601863.21,Zhumadian,Henan,4261,-0.25575492488887747,2
